ID,Title,Dynasty,Artist,Format,Material,H,W,A,Size,Institute,Nationality,Source,Note,Seals and Inscriptions,Set,Tag1,Tag2,Tag3,Tag4
365,歲寒三友,SS2,趙孟堅,circular 圓幅,Silk 絹本,24.2,23.2,561.44,S,上海博物館,CHN,宋畫全集第二卷第二冊,,,,plant,,,
366,溪山行旅圖,SS1,朱銳,squarish 方幅,Silk 絹本,26.2,27.2,712.64,S,上海博物館,CHN,宋畫全集第二卷第一冊,,,,landscape,figure,architecture,
367,溪山行旅圖,SS1,朱□,squarish 方幅,Silk 絹本,24.8,26,644.8,S,上海博物館,CHN,宋畫全集第二卷第一冊,,,,landscape,figure,architecture,
368,晚景圖,SS1,朱□□,hanging scroll 軸,Silk 絹本,69.4,38.1,2644.14,M,上海博物館,CHN,宋畫全集第二卷第一冊,,,,,,,
369,獵犬圖,SS1,李迪,squarish 方幅,Silk 絹本,26.5,26.9,712.85,S,北京故宮博物院,CHN,,,,,animal,,,
370,江亭攬勝圖,SS2,朱惟德,circular 圓幅,Silk 絹本,24.2,25.8,624.36,S,遼寧省博物館,CHN,宋畫全集第三卷第二冊,,,,landscape,architecture,,
371,九歌圖,NS1,傳 李公麟,,,,,,,中國歷史博物館,CHN,,,,,,,,
372,溪山水閣圖,,佚名,circular 圓幅,Silk 絹本,24.9,25.6,637.44,S,北京故宮博物院,CHN,宋畫全集第一卷第七冊,,,,landscape,figure,,
373,瀟湘奇觀圖,NS2,米友仁,handscroll 卷,Paper 紙本,19.7,285.7,5628.29,XL,北京故宮博物院,CHN,宋畫全集第一卷第二冊,,,,,,,
374,雲山墨戲圖,NS2,米友仁,handscroll 卷,Paper 紙本,21.4,195.8,4190.12,L,北京故宮博物院,CHN,宋畫全集第一卷第二冊,,,,,,,
375,西岳降靈圖,NS1,李公麟,handscroll 卷,Silk 絹本,26.5,523.7,13878.05,XL,北京故宮博物院,CHN,宋畫全集第一卷第一冊,,,,,,,
376,臨韋偃放牧圖,NS1,李公麟,handscroll 卷,Silk 絹本,46.2,429.8,19856.76,XL,北京故宮博物院,CHN,宋畫全集第一卷第一冊,,,,,,,
377,維摩演教圖,NS1,傳 李公麟,handscroll 卷,Paper 紙本,34.6,207.5,7179.5,XL,北京故宮博物院,CHN,宋畫全集第一卷第一冊,,,,,,,
378,煙岫林居圖,SS2,夏珪,circular 圓幅,Silk 絹本,25,26.1,652.5,S,北京故宮博物院,CHN,宋畫全集第一卷第四冊,,,,figure,landscape,,
379,松溪泛月圖,SS2,夏珪,circular 圓幅,Silk 絹本,24.7,25.2,622.44,S,北京故宮博物院,CHN,宋畫全集第一卷第四冊,,,,landscape,figure,,
380,雪堂客話圖,SS2,夏珪,squarish 方幅,Silk 絹本,28.2,29.5,831.9,S,北京故宮博物院,CHN,宋畫全集第一卷第四冊,,,,landscape,architecture,,
381,梧竹溪堂圖,SS2,夏珪,squarish 方幅,Silk 絹本,23,26,598,S,北京故宮博物院,CHN,宋畫全集第一卷第四冊,,,,figure,architecture,landscape,
382,瑤岑烟靄圖,SS2,夏珪,circular 圓幅,Silk 絹本,23.5,24.2,568.7,S,北京故宮博物院,CHN,宋畫全集第一卷第四冊,類似日本夏圭,,,landscape,architecture,,
383,秋柳雙鴉,SS2,梁楷,circular 圓幅,Silk 絹本,25.7,24.8,637.36,S,北京故宮博物院,CHN,宋畫全集第一卷第四冊,,,,animal,plant,,
384,柳溪卧笛圖,SS2,傳 梁楷,squarish 方幅,Silk 絹本,26.1,26.1,681.21,S,北京故宮博物院,CHN,宋畫全集第一卷第四冊,,,,figure,landscape,,
385,疏柳寒鴉圖,SS2,梁楷,circular 圓幅,Silk 絹本,22.4,24.2,542.08,S,北京故宮博物院,CHN,宋畫全集第一卷第四冊,,,,animal,plant,,
386,雪棧行騎圖,SS2,梁楷,squarish 方幅,Silk 絹本,24.2,23.3,563.86,S,北京故宮博物院,CHN,宋畫全集第一卷第四冊,,,,landscape,figure,,
387,三高遊賞圖,SS2,梁楷,circular 圓幅,Silk 絹本,25.2,26,655.2,S,北京故宮博物院,CHN,宋畫全集第一卷第四冊,,,,figure,,,
388,白薔薇圖,SS2,馬遠,squarish 方幅,Silk 絹本,26.2,25.8,675.96,S,北京故宮博物院,CHN,宋畫全集第一卷第四冊,,,,plant,,,
389,梅石溪鳧,SS2,馬遠,squarish 方幅,Silk 絹本,26.7,28.6,763.62,S,北京故宮博物院,CHN,宋畫全集第一卷第四冊,,,,animal,landscape,,
390,踏歌圖,SS2,馬遠,hanging scroll 軸,Silk 絹本,193.5,110,21285,L,北京故宮博物院,CHN,宋畫全集第一卷第四冊,寧宗題跋，赐王都提举，庚辰，御書之寶，1220。王耀庭：落款有疑，书画管见集p113,,,,,,
391,寒山子像,SS2,馬遠,circular 圓幅,Silk 絹本,24.2,25.8,624.36,S,北京故宮博物院,CHN,宋畫全集第一卷第四冊,,,,figure,plant,,
392,水圖1,SS2,馬遠,handscroll 卷,Silk 絹本,26.8,41.6,1114.88,S,北京故宮博物院,CHN,宋畫全集第一卷第四冊,楊皇后題詞,,水圖,landscape,,,
393,水圖2,SS2,馬遠,handscroll 卷,Silk 絹本,26.8,41.6,1114.88,S,北京故宮博物院,CHN,宋畫全集第一卷第四冊,楊皇后題詞,,水圖,landscape,,,
394,水圖3,SS2,馬遠,handscroll 卷,Silk 絹本,26.8,41.6,1114.88,S,北京故宮博物院,CHN,宋畫全集第一卷第四冊,楊皇后題詞,,水圖,landscape,,,
395,水圖4,SS2,馬遠,handscroll 卷,Silk 絹本,26.8,41.6,1114.88,S,北京故宮博物院,CHN,宋畫全集第一卷第四冊,楊皇后題詞,,水圖,landscape,,,
396,水圖5,SS2,馬遠,handscroll 卷,Silk 絹本,26.8,41.6,1114.88,S,北京故宮博物院,CHN,宋畫全集第一卷第四冊,楊皇后題詞,,水圖,landscape,,,
397,水圖6,SS2,馬遠,handscroll 卷,Silk 絹本,26.8,41.6,1114.88,S,北京故宮博物院,CHN,宋畫全集第一卷第四冊,楊皇后題詞,,水圖,landscape,,,
398,水圖7,SS2,馬遠,handscroll 卷,Silk 絹本,26.8,41.6,1114.88,S,北京故宮博物院,CHN,宋畫全集第一卷第四冊,楊皇后題詞,,水圖,landscape,,,
399,水圖8,SS2,馬遠,handscroll 卷,Silk 絹本,26.8,41.6,1114.88,S,北京故宮博物院,CHN,宋畫全集第一卷第四冊,楊皇后題詞,,水圖,landscape,,,
400,水圖9,SS2,馬遠,handscroll 卷,Silk 絹本,26.8,41.6,1114.88,S,北京故宮博物院,CHN,宋畫全集第一卷第四冊,楊皇后題詞,,水圖,landscape,,,
401,水圖10,SS2,馬遠,handscroll 卷,Silk 絹本,26.8,41.6,1114.88,S,北京故宮博物院,CHN,宋畫全集第一卷第四冊,楊皇后題詞,,水圖,landscape,,,
402,水圖11,SS2,馬遠,handscroll 卷,Silk 絹本,26.8,41.6,1114.88,S,北京故宮博物院,CHN,宋畫全集第一卷第四冊,楊皇后題詞,,水圖,landscape,,,
403,水圖12,SS2,馬遠,handscroll 卷,Silk 絹本,26.8,41.6,1114.88,S,北京故宮博物院,CHN,宋畫全集第一卷第四冊,楊皇后題詞,,水圖,landscape,,,
404,孔丘相,SS2,馬遠,squarish 方幅,Silk 絹本,27.7,23.1,639.87,S,北京故宮博物院,CHN,宋畫全集第一卷第四冊,,,,figure,,,
405,石壁看雲,SS2,傳 馬遠,circular 圓幅,Silk 絹本,23.7,24,568.8,S,北京故宮博物院,CHN,宋畫全集第一卷第四冊,,,,landscape,figure,,
406,天末歸帆圖,SS1,佚名,circular 圓幅,Silk 絹本,24.2,25.5,617.1,S,北京故宮博物院,CHN,宋畫全集第一卷第七冊,高宗題詞,,,figure,landscape,,
407,蓬瀛仙館圖,,佚名,circular 圓幅,Silk 絹本,26.4,27.9,736.56,S,北京故宮博物院,CHN,宋畫全集第一卷第七冊,類似宮室圖,,,architecture,,,
408,仙山樓閣圖,,佚名,circular 圓幅,Silk 絹本,23,23.4,538.2,S,北京故宮博物院,CHN,宋畫全集第一卷第七冊,,,,landscape,architecture,,
409,長橋卧波圖,,佚名,circular 圓幅,Silk 絹本,24,26.2,628.8,S,北京故宮博物院,CHN,宋畫全集第一卷第七冊,,,,landscape,architecture,,
410,柳塘秋草圖,,佚名,circular 圓幅,Silk 絹本,23.4,24.2,566.28,S,北京故宮博物院,CHN,宋畫全集第一卷第七冊,,,,landscape,,,
411,出水芙蓉圖,SS0,佚名,circular 圓幅,Silk 絹本,25,23.8,595,S,北京故宮博物院,CHN,宋畫全集第一卷第八冊,,,,plant,,,
412,溪蘆野鴨圖,SS0,佚名,squarish 方幅,Silk 絹本,27.3,26.3,717.99,S,北京故宮博物院,CHN,宋畫全集第一卷第八冊,,,歷代名筆集勝冊,animal,plant,,
413,鬥雀圖,,佚名,circular 圓幅,Silk 絹本,25.5,24.2,617.1,S,北京故宮博物院,CHN,宋畫全集第一卷第八冊,,,歷代名筆集勝冊,animal,,,
414,紅蓼水禽圖,,佚名,circular 圓幅,Silk 絹本,26.8,25.2,675.36,S,北京故宮博物院,CHN,宋畫全集第一卷第八冊,,,歷代名筆集勝冊,animal,plant,,
415,瓦雀栖枝圖,,佚名,squarish 方幅,Silk 絹本,29,28.6,829.4,S,北京故宮博物院,CHN,宋畫全集第一卷第八冊,,,,animal,plant,,
416,鳥桕文禽圖,,佚名,squarish 方幅,Silk 絹本,27.5,26.9,739.75,S,北京故宮博物院,CHN,宋畫全集第一卷第八冊,類似馬遠,,宋人集繪冊,animal,landscape,,
417,洛神賦全圖,,佚名,handscroll 卷,Silk 絹本,51.2,1157,59238.4,XL,北京故宮博物院,CHN,宋畫全集第一卷第五冊,,,,,,,
418,洛神賦圖,SS0,佚名,handscroll 卷,Silk 絹本,26.8,159,4261.2,L,北京故宮博物院,CHN,宋畫全集第一卷第五冊,宋摹本,,,,,,
419,女史箴圖,SS0,佚名,handscroll 卷,Paper 紙本,27.8,601,16707.8,XL,北京故宮博物院,CHN,宋畫全集第一卷第五冊,宋摹本,,,,,,
420,摹願恺之斲琴圖,,佚名,handscroll 卷,Silk 絹本,29.6,132.7,3927.92,L,北京故宮博物院,CHN,宋畫全集第一卷第五冊,宋摹本,,,,,,
421,秋林觀泉圖,SS2,佚名,handscroll 卷,Silk 絹本,24.7,112.3,2773.81,L,北京故宮博物院,CHN,宋畫全集第一卷第五冊,類似濠梁秋水,,,,,,
422,秋林放犢圖,,佚名,hanging scroll 軸,Silk 絹本,96.3,53.2,5123.16,M,北京故宮博物院,CHN,宋畫全集第一卷第五冊,類似牧牛圖,,,,,,
423,秋山紅樹圖,SS1,佚名,hanging scroll 軸,Silk 絹本,197,111.8,22024.6,L,北京故宮博物院,CHN,宋畫全集第一卷第五冊,,,,,,,
424,雪山行旅圖,,佚名,hanging scroll 軸,Silk 絹本,163,52.6,8573.8,L,北京故宮博物院,CHN,宋畫全集第一卷第五冊,,,,,,,
425,女孝經圖,SS0,佚名,handscroll 卷,Silk 絹本,43.8,823.7,36078.06,XL,北京故宮博物院,CHN,宋畫全集第一卷第五冊,,,,,,,
426,番王禮佛圖,,佚名,handscroll 卷,Paper 紙本,34.4,131.3,4516.72,L,北京故宮博物院,CHN,宋畫全集第一卷第六冊,,,,,,,
427,摹梁令瓚星宿圖,,佚名,handscroll 卷,Silk 絹本,30,485.5,14565,XL,北京故宮博物院,CHN,宋畫全集第一卷第六冊,類似大阪,,,,,,
428,搜山圖,,佚名,handscroll 卷,Silk 絹本,53.3,533,28408.9,XL,北京故宮博物院,CHN,宋畫全集第一卷第六冊,,,,,,,
429,盤車圖,,佚名,hanging scroll 軸,Silk 絹本,109,49.5,5395.5,L,北京故宮博物院,CHN,宋畫全集第一卷第六冊,,,,,,,
430,田畯醉歸圖,,佚名,handscroll 卷,Silk 絹本,22,76.3,1678.6,M,北京故宮博物院,CHN,宋畫全集第一卷第六冊,,,,,,,
431,柳蔭群盲圖,,佚名,hanging scroll 軸,Silk 絹本,82,78.5,6437,M,北京故宮博物院,CHN,宋畫全集第一卷第六冊,小幅放大？,,,,,,
432,春宴圖,,佚名,handscroll 卷,Silk 絹本,26,487.5,12675,XL,北京故宮博物院,CHN,宋畫全集第一卷第六冊,宋摹本,,,,,,
433,蘆仝烹茶圖,SS0,佚名,handscroll 卷,Silk 絹本,24.1,44.7,1077.27,S,北京故宮博物院,CHN,宋畫全集第一卷第六冊,,,,figure,architecture,,
434,八相圖,SS0,佚名,handscroll 卷,Silk 絹本,36.5,290,10585,XL,北京故宮博物院,CHN,宋畫全集第一卷第六冊,,,,,,,
435,會昌九老圖,SS0,佚名,handscroll 卷,Silk 絹本,28.2,245.5,6923.1,XL,北京故宮博物院,CHN,宋畫全集第一卷第六冊,類似遼寧九老，高宗題跋,,,,,,
436,蕭翼賺蘭亭圖,,佚名,handscroll 卷,Silk 絹本,26.6,44.3,1178.38,S,北京故宮博物院,CHN,宋畫全集第一卷第六冊,宋摹本,,,figure,,,
437,大儺圖,,佚名,hanging scroll 軸,Silk 絹本,67.4,59.2,3990.08,M,北京故宮博物院,CHN,宋畫全集第一卷第六冊,小幅放大？,,,,,,
438,溪山春曉圖,,佚名,handscroll 卷,Silk 絹本,24.5,185.5,4544.75,L,北京故宮博物院,CHN,宋畫全集第一卷第七冊,,,,,,,
439,百花圖,SS2,佚名,handscroll 卷,Paper 紙本,31.3,1679.5,52568.35,XL,北京故宮博物院,CHN,宋畫全集第一卷第七冊,,,,,,,
440,寒汀落雁圖,,佚名,hanging scroll 軸,Silk 絹本,125.9,92.1,11595.39,L,北京故宮博物院,CHN,宋畫全集第一卷第八冊,小幅放大？,,,,,,
441,折枝花卉圖1,,佚名,handscroll 卷,Silk 絹本,49.2,77.6,3817.92,M,北京故宮博物院,CHN,宋畫全集第一卷第八冊,,,折枝花卉圖,,,,
442,折枝花卉圖2,,佚名,handscroll 卷,Silk 絹本,49.2,77.6,3817.92,M,北京故宮博物院,CHN,宋畫全集第一卷第八冊,,,折枝花卉圖,,,,
443,折枝花卉圖3,,佚名,handscroll 卷,Silk 絹本,49.2,77.6,3817.92,M,北京故宮博物院,CHN,宋畫全集第一卷第八冊,,,折枝花卉圖,,,,
444,折枝花卉圖4,,佚名,handscroll 卷,Silk 絹本,49.2,77.6,3817.92,M,北京故宮博物院,CHN,宋畫全集第一卷第八冊,,,折枝花卉圖,,,,
445,雪漁圖,,佚名,handscroll 卷,Silk 絹本,25.3,332.6,8414.78,XL,北京故宮博物院,CHN,宋畫全集第一卷第五冊,大都會高克明？,,,,,,
446,盧鴻草堂十志圖,,佚名,handscroll 卷,Silk 絹本,25.6,711.6,18216.96,XL,北京故宮博物院,CHN,宋畫全集第一卷第六冊,,,,,,,
447,九歌圖,,佚名,handscroll 卷,Paper 紙本,40,885,35400,XL,北京故宮博物院,CHN,宋畫全集第一卷第六冊,,,,,,,
448,絲綸圖,,佚名,hanging scroll 軸,Silk 絹本,83.2,37.6,3128.32,M,北京故宮博物院,CHN,宋畫全集第一卷第六冊,畫贊式題跋,,,,,,
449,山坡論道圖,SS0,佚名,squarish 方幅,Silk 絹本,25.4,25,635,S,北京故宮博物院,CHN,宋畫全集第一卷第七冊,,,,landscape,plant,,
450,松蔭談道圖,,佚名,circular 圓幅,Silk 絹本,25.2,25.7,647.64,S,北京故宮博物院,CHN,宋畫全集第一卷第七冊,,,歷代名筆集勝冊,landscape,figure,,
451,仙女乘鸞圖,NS0,佚名,circular 圓幅,Silk 絹本,26.1,25.3,660.33,S,北京故宮博物院,CHN,宋畫全集第一卷第七冊,,,歷代名筆集勝冊,figure,animal,,
452,山居對弈圖,SS0,佚名,circular 圓幅,Silk 絹本,24.8,24,595.2,S,北京故宮博物院,CHN,宋畫全集第一卷第七冊,,,,landscape,,,
453,柳溪釣艇圖,SS0,佚名,circular 圓幅,Silk 絹本,24.8,23,570.4,S,北京故宮博物院,CHN,宋畫全集第一卷第七冊,,,歷代名筆集勝冊,landscape,,,
454,柳蔭雲碓圖,,佚名,squarish 方幅,Silk 絹本,22.8,20.5,467.4,S,北京故宮博物院,CHN,宋畫全集第一卷第七冊,,,四朝選藻冊,figure,architecture,landscape,
455,水閣風涼圖,SS0,佚名,squarish 方幅,Silk 絹本,22.5,21.1,474.75,S,北京故宮博物院,CHN,宋畫全集第一卷第七冊,,,,landscape,architecture,,
456,臨流撫琴圖,SS2,佚名,circular 圓幅,Silk 絹本,25.5,26.5,675.75,S,北京故宮博物院,CHN,宋畫全集第一卷第七冊,,,,figure,landscape,,
457,雲峰遠眺圖,SS2,佚名,squarish 方幅,Silk 絹本,24.8,26.4,654.72,S,北京故宮博物院,CHN,宋畫全集第一卷第七冊,,,,figure,landscape,,
458,梅溪放艇圖,SS2,佚名,circular 圓幅,Silk 絹本,24.4,24.7,602.68,S,北京故宮博物院,CHN,宋畫全集第一卷第七冊,,,,figure,landscape,,
459,山店風簾圖,,佚名,circular 圓幅,Silk 絹本,24,25.3,607.2,S,北京故宮博物院,CHN,宋畫全集第一卷第七冊,,,四朝選藻冊,landscape,figure,architecture,
460,納涼觀瀑圖,SS0,佚名,circular 圓幅,Silk 絹本,24.7,24.8,612.56,S,北京故宮博物院,CHN,宋畫全集第一卷第七冊,,,宋人名流集藻冊,figure,architecture,landscape,
461,蓮塘泛艇圖,,佚名,circular 圓幅,Silk 絹本,24.3,25.9,629.37,S,北京故宮博物院,CHN,宋畫全集第一卷第七冊,,,歷代名筆集勝冊,landscape,figure,architecture,
462,桐蔭玩月圖,,佚名,circular 圓幅,Silk 絹本,24,17.5,420,S,北京故宮博物院,CHN,宋畫全集第一卷第七冊,橢圓,,歷代名筆集勝冊,figure,architecture,,
463,梧桐庭院圖,SS0,佚名,squarish 方幅,Silk 絹本,24,19.3,463.2,S,北京故宮博物院,CHN,宋畫全集第一卷第七冊,,,,landscape,architecture,,
464,柳院消暑圖,,佚名,circular 圓幅,Silk 絹本,29,29.2,846.8,S,北京故宮博物院,CHN,宋畫全集第一卷第七冊,類似秋窗讀易,,,architecture,figure,landscape,
465,深堂琴趣圖,SS2,佚名,circular 圓幅,Silk 絹本,24.2,24.9,602.58,S,北京故宮博物院,CHN,宋畫全集第一卷第七冊,,,,figure,architecture,,
466,征人曉发圖,SS0,佚名,circular 圓幅,Silk 絹本,25.2,25.6,645.12,S,北京故宮博物院,CHN,宋畫全集第一卷第七冊,,,,architecture,figure,,
467,竹澗焚香圖,SS0,佚名,circular 圓幅,Silk 絹本,25.8,20,516,S,北京故宮博物院,CHN,宋畫全集第一卷第七冊,橢圓,,四朝選藻冊,landscape,figure,,
468,秋堂客話圖,SS2,佚名,squarish 方幅,Silk 絹本,24.2,22.5,544.5,S,北京故宮博物院,CHN,宋畫全集第一卷第七冊,類似李唐,,,figure,landscape,,
469,松谷問道圖,SS0,佚名,circular 圓幅,Silk 絹本,21.8,21.2,462.16,S,北京故宮博物院,CHN,宋畫全集第一卷第七冊,,,宋元名繪冊,figure,landscape,,
470,採花圖,,佚名,circular 圓幅,Silk 絹本,24.1,25.2,607.32,S,北京故宮博物院,CHN,宋畫全集第一卷第七冊,,,歷代名筆集勝冊,figure,landscape,,
471,蓮舟仙渡圖,,佚名,squarish 方幅,Silk 絹本,21.4,22.4,479.36,S,北京故宮博物院,CHN,宋畫全集第一卷第七冊,,,,landscape,figure,,
472,初平牧羊圖,,佚名,circular 圓幅,Silk 絹本,23.5,24.6,578.1,S,北京故宮博物院,CHN,宋畫全集第一卷第七冊,,,,figure,animal,landscape,
473,漁樂圖,,佚名,circular 圓幅,Silk 絹本,23.7,25,592.5,S,北京故宮博物院,CHN,宋畫全集第一卷第七冊,,,,animal,,,
474,山居說聽圖,,佚名,circular 圓幅,Silk 絹本,24.7,25.5,629.85,S,北京故宮博物院,CHN,宋畫全集第一卷第七冊,,,,landscape,figure,,
475,南唐文會圖,,佚名,squarish 方幅,Silk 絹本,30.4,29.7,902.88,S,北京故宮博物院,CHN,宋畫全集第一卷第七冊,,,四朝選藻冊,figure,architecture,,
476,松蔭策杖圖,,佚名,circular 圓幅,Silk 絹本,28,28.6,800.8,S,北京故宮博物院,CHN,宋畫全集第一卷第七冊,類似柳苑消暑圖,,,figure,landscape,,
477,竹林撥阮圖,,佚名,circular 圓幅,Silk 絹本,22.7,24.3,551.61,S,北京故宮博物院,CHN,宋畫全集第一卷第七冊,,,四朝選藻冊,figure,landscape,,
478,柳塘泛月圖,SS0,佚名,circular 圓幅,Silk 絹本,23.2,25,580,S,北京故宮博物院,CHN,宋畫全集第一卷第七冊,,,,figure,landscape,,
479,耕獲圖,,佚名,circular 圓幅,Silk 絹本,25.6,24.8,634.88,S,北京故宮博物院,CHN,宋畫全集第一卷第七冊,,,歷代名筆集勝冊,landscape,figure,,
480,雜劇圖（賣眼藥）,SS0,佚名,squarish 方幅,Silk 絹本,23.8,24.5,583.1,S,北京故宮博物院,CHN,宋畫全集第一卷第七冊,,,,figure,,,
481,雜劇圖（打花鼓）,,佚名,squarish 方幅,Silk 絹本,24,23.3,559.2,S,北京故宮博物院,CHN,宋畫全集第一卷第七冊,,,,figure,,,
482,春遊晚歸圖,,佚名,circular 圓幅,Silk 絹本,24.1,25.3,609.73,S,北京故宮博物院,CHN,宋畫全集第一卷第七冊,,,,figure,architecture,,
483,槐蔭消夏圖,,佚名,squarish 方幅,Silk 絹本,25,28.4,710,S,北京故宮博物院,CHN,宋畫全集第一卷第七冊,,,歷代名筆集勝冊,figure,architecture,,
484,柳蔭高士圖,,佚名,squarish 方幅,Silk 絹本,29.2,28.6,835.12,S,北京故宮博物院,CHN,宋畫全集第一卷第七冊,,,,figure,landscape,,
485,松蔭間憩圖,,佚名,squarish 方幅,Silk 絹本,23.8,22.5,535.5,S,北京故宮博物院,CHN,宋畫全集第一卷第七冊,,,歷代名筆集勝冊,landscape,figure,,
486,柳蔭醉歸圖,SS0,佚名,circular 圓幅,Silk 絹本,23,24.6,565.8,S,北京故宮博物院,CHN,宋畫全集第一卷第七冊,,,,figure,landscape,,
487,天寒翠袖圖,,佚名,circular 圓幅,Silk 絹本,25.7,21.6,555.12,S,北京故宮博物院,CHN,宋畫全集第一卷第七冊,橢圓,,,figure,plant,,
488,百子嬉春圖,,佚名,circular 圓幅,Silk 絹本,26.6,27.7,736.82,S,北京故宮博物院,CHN,宋畫全集第一卷第七冊,,,四朝選藻冊,figure,architecture,,
489,秋庭嬰戲圖,,佚名,circular 圓幅,Silk 絹本,23.7,24.2,573.54,S,北京故宮博物院,CHN,宋畫全集第一卷第七冊,,,宋人名流集藻冊,figure,architecture,,
490,小庭嬰戲圖,SS1,佚名,circular 圓幅,Silk 絹本,25.9,25.2,652.68,S,北京故宮博物院,CHN,宋畫全集第一卷第七冊,,,,figure,architecture,,
491,蕉石嬰戲圖,,佚名,circular 圓幅,Silk 絹本,23.1,24.5,565.95,S,北京故宮博物院,CHN,宋畫全集第一卷第七冊,,,宋人畫冊,figure,plant,,
492,蕉蔭擊球圖,,佚名,circular 圓幅,Silk 絹本,25,24.6,615,S,北京故宮博物院,CHN,宋畫全集第一卷第七冊,,,宋人名流集藻冊,figure,plant,,
493,層樓春晀圖,,佚名,circular 圓幅,Silk 絹本,23.7,26.4,625.68,S,北京故宮博物院,CHN,宋畫全集第一卷第七冊,,,四朝選藻冊,architecture,landscape,,
494,柳塘讀書圖,SS0,佚名,circular 圓幅,Silk 絹本,24.5,22.5,551.25,S,北京故宮博物院,CHN,宋畫全集第一卷第七冊,,,歷代名筆集勝冊,architecture,landscape,,
495,雪溪放牧圖,SS0,佚名,circular 圓幅,Silk 絹本,25.7,26.3,675.91,S,北京故宮博物院,CHN,宋畫全集第一卷第七冊,類似李迪,,,landscape,figure,animal,
496,雪山行騎圖,,佚名,squarish 方幅,Silk 絹本,29,23,667,S,北京故宮博物院,CHN,宋畫全集第一卷第七冊,,,,landscape,,,
497,歸牧圖,,佚名,circular 圓幅,Silk 絹本,23.9,23.4,559.26,S,北京故宮博物院,CHN,宋畫全集第一卷第七冊,,,,animal,landscape,,
498,騎士獵歸圖,,佚名,squarish 方幅,Silk 絹本,22.3,25.2,561.96,S,北京故宮博物院,CHN,宋畫全集第一卷第七冊,,,四朝選藻冊,figure,animal,,
499,雙童放牧圖,,佚名,,,24.5,24.9,610.05,S,北京故宮博物院,CHN,故宮博物院藏品大系第四冊,,,,animal,figure,,
500,水村烟靄圖,SS2,佚名,circular 圓幅,Silk 絹本,23.6,25.3,597.08,S,北京故宮博物院,CHN,宋畫全集第一卷第七冊,,,歷代名筆集勝冊,landscape,architecture,,
501,松岡暮色圖,SS0,佚名,circular 圓幅,Silk 絹本,24.1,25.7,619.37,S,北京故宮博物院,CHN,宋畫全集第一卷第七冊,,,歷代名筆集勝冊,landscape,,,
502,風雨歸舟圖,SS0,佚名,circular 圓幅,Silk 絹本,25.6,26.2,670.72,S,北京故宮博物院,CHN,宋畫全集第一卷第七冊,,,,landscape,architecture,,
503,江上青峰圖,,佚名,circular 圓幅,Silk 絹本,24.5,26.2,641.9,S,北京故宮博物院,CHN,宋畫全集第一卷第七冊,,,,landscape,,,
504,春江帆飽圖,SS0,佚名,circular 圓幅,Silk 絹本,25.8,27,696.6,S,北京故宮博物院,CHN,宋畫全集第一卷第七冊,,,四朝選藻冊,landscape,architecture,,
505,山腰樓觀圖,SS0,佚名,circular 圓幅,Silk 絹本,23.6,22.5,531,S,北京故宮博物院,CHN,宋畫全集第一卷第七冊,對幅有楊皇后題字,,歷代名筆集勝冊,landscape,figure,,
506,木末孤亭圖,,佚名,circular 圓幅,Silk 絹本,23.3,24.6,573.18,S,北京故宮博物院,CHN,宋畫全集第一卷第七冊,,,,landscape,architecture,figure,
507,春山漁艇圖,SS0,佚名,circular 圓幅,Silk 絹本,21,21.5,451.5,S,北京故宮博物院,CHN,宋畫全集第一卷第七冊,,,,landscape,landscape,,
508,五雲樓閣圖,,佚名,circular 圓幅,Silk 絹本,23.2,23.2,538.24,S,北京故宮博物院,CHN,宋畫全集第一卷第七冊,,,歷代名筆集勝冊,landscape,,,
509,滄溟涌日圖,,佚名,circular 圓幅,Silk 絹本,23.4,24.9,582.66,S,北京故宮博物院,CHN,宋畫全集第一卷第七冊,,,,landscape,,,
510,柳閣風帆圖,,佚名,circular 圓幅,Silk 絹本,25.2,26.9,677.88,S,北京故宮博物院,CHN,宋畫全集第一卷第七冊,,,,landscape,architecture,,
511,雲關雪棧圖,SS0,佚名,circular 圓幅,Silk 絹本,25.2,26.2,660.24,S,北京故宮博物院,CHN,宋畫全集第一卷第七冊,,,,landscape,architecture,figure,
512,柳溪春色圖,SS0,佚名,circular 圓幅,Silk 絹本,22,24.8,545.6,S,北京故宮博物院,CHN,宋畫全集第一卷第七冊,趙氏,,,landscape,,,
513,山水人物圖,SS1,佚名,circular 圓幅,Silk 絹本,25.3,25.3,640.09,S,北京故宮博物院,CHN,宋畫全集第一卷第七冊,"同大都會冒雨尋莊, 可能有高宗印",,,landscape,architecture,,
514,岩檜圖,SS0,佚名,squarish 方幅,Silk 絹本,51,39.5,2014.5,S,北京故宮博物院,CHN,宋畫全集第一卷第七冊,,,,plant,,,
515,山水圖,,佚名,circular 圓幅,Silk 絹本,23,24.8,570.4,S,北京故宮博物院,CHN,宋畫全集第一卷第七冊,,,,landscape,architecture,,
516,楊柳溪堂圖,,佚名,squarish 方幅,Silk 絹本,22.5,24.5,551.25,S,北京故宮博物院,CHN,宋畫全集第一卷第七冊,類似上博《荷塘按樂》,,,landscape,figure,architecture,
517,清溪風帆圖,,佚名,circular 圓幅,Silk 絹本,24.6,25.6,629.76,S,北京故宮博物院,CHN,宋畫全集第一卷第七冊,,,,landscape,,,
