ID,Title,Dynasty,Artist,Format,Material,H,W,A,Size,Institute,Nationality,Source,Note,Seals and Inscriptions,Set,Tag1,Tag2,Tag3,Tag4
37,道子墨寶8,SS0,佚名,squarish 方幅,Paper 紙本,34.2,38.4,1313.28,S,"Cleveland Museum of Art, USA",USA,宋畫全集第六卷第二冊,,,道子墨寶五十開,figure,architecture,,
38,道子墨寶9,SS0,佚名,squarish 方幅,Paper 紙本,34.2,38.4,1313.28,S,"Cleveland Museum of Art, USA",USA,宋畫全集第六卷第二冊,,,道子墨寶五十開,figure,architecture,,
39,道子墨寶10,SS0,佚名,squarish 方幅,Paper 紙本,34.2,38.4,1313.28,S,"Cleveland Museum of Art, USA",USA,宋畫全集第六卷第二冊,,,道子墨寶五十開,figure,architecture,,
40,道子墨寶11,SS0,佚名,squarish 方幅,Paper 紙本,34.2,38.4,1313.28,S,"Cleveland Museum of Art, USA",USA,宋畫全集第六卷第二冊,,,道子墨寶五十開,figure,architecture,,
41,道子墨寶12,SS0,佚名,squarish 方幅,Paper 紙本,34.2,38.4,1313.28,S,"Cleveland Museum of Art, USA",USA,宋畫全集第六卷第二冊,,,道子墨寶五十開,figure,architecture,,
42,道子墨寶13,SS0,佚名,squarish 方幅,Paper 紙本,34.2,38.4,1313.28,S,"Cleveland Museum of Art, USA",USA,宋畫全集第六卷第二冊,,,道子墨寶五十開,figure,architecture,,
43,道子墨寶14,SS0,佚名,squarish 方幅,Paper 紙本,34.2,38.4,1313.28,S,"Cleveland Museum of Art, USA",USA,宋畫全集第六卷第二冊,,,道子墨寶五十開,figure,architecture,,
44,道子墨寶15,SS0,佚名,squarish 方幅,Paper 紙本,34.2,38.4,1313.28,S,"Cleveland Museum of Art, USA",USA,宋畫全集第六卷第二冊,,,道子墨寶五十開,figure,architecture,,
45,道子墨寶16,SS0,佚名,squarish 方幅,Paper 紙本,34.2,38.4,1313.28,S,"Cleveland Museum of Art, USA",USA,宋畫全集第六卷第二冊,,,道子墨寶五十開,figure,architecture,,
46,道子墨寶17,SS0,佚名,squarish 方幅,Paper 紙本,34.2,38.4,1313.28,S,"Cleveland Museum of Art, USA",USA,宋畫全集第六卷第二冊,,,道子墨寶五十開,figure,architecture,,
47,道子墨寶18,SS0,佚名,squarish 方幅,Paper 紙本,34.2,38.4,1313.28,S,"Cleveland Museum of Art, USA",USA,宋畫全集第六卷第二冊,,,道子墨寶五十開,figure,architecture,,
48,道子墨寶19,SS0,佚名,squarish 方幅,Paper 紙本,34.2,38.4,1313.28,S,"Cleveland Museum of Art, USA",USA,宋畫全集第六卷第二冊,,,道子墨寶五十開,figure,architecture,,
49,道子墨寶20,SS0,佚名,squarish 方幅,Paper 紙本,34.2,38.4,1313.28,S,"Cleveland Museum of Art, USA",USA,宋畫全集第六卷第二冊,,,道子墨寶五十開,figure,architecture,,
50,道子墨寶21,SS0,佚名,squarish 方幅,Paper 紙本,34.2,38.4,1313.28,S,"Cleveland Museum of Art, USA",USA,宋畫全集第六卷第二冊,,,道子墨寶五十開,figure,architecture,,
51,道子墨寶22,SS0,佚名,squarish 方幅,Paper 紙本,34.2,38.4,1313.28,S,"Cleveland Museum of Art, USA",USA,宋畫全集第六卷第二冊,,,道子墨寶五十開,figure,architecture,,
52,道子墨寶23,SS0,佚名,squarish 方幅,Paper 紙本,34.2,38.4,1313.28,S,"Cleveland Museum of Art, USA",USA,宋畫全集第六卷第二冊,,,道子墨寶五十開,figure,architecture,,
53,道子墨寶24,SS0,佚名,squarish 方幅,Paper 紙本,34.2,38.4,1313.28,S,"Cleveland Museum of Art, USA",USA,宋畫全集第六卷第二冊,,,道子墨寶五十開,figure,architecture,,
54,道子墨寶25,SS0,佚名,squarish 方幅,Paper 紙本,34.2,38.4,1313.28,S,"Cleveland Museum of Art, USA",USA,宋畫全集第六卷第二冊,,,道子墨寶五十開,figure,architecture,,
55,道子墨寶26,SS0,佚名,squarish 方幅,Paper 紙本,34.2,38.4,1313.28,S,"Cleveland Museum of Art, USA",USA,宋畫全集第六卷第二冊,,,道子墨寶五十開,figure,architecture,,
56,道子墨寶27,SS0,佚名,squarish 方幅,Paper 紙本,34.2,38.4,1313.28,S,"Cleveland Museum of Art, USA",USA,宋畫全集第六卷第二冊,,,道子墨寶五十開,figure,architecture,,
57,道子墨寶28,SS0,佚名,squarish 方幅,Paper 紙本,34.2,38.4,1313.28,S,"Cleveland Museum of Art, USA",USA,宋畫全集第六卷第二冊,,,道子墨寶五十開,figure,architecture,,
58,道子墨寶29,SS0,佚名,squarish 方幅,Paper 紙本,34.2,38.4,1313.28,S,"Cleveland Museum of Art, USA",USA,宋畫全集第六卷第二冊,,,道子墨寶五十開,figure,architecture,,
59,道子墨寶30,SS0,佚名,squarish 方幅,Paper 紙本,34.2,38.4,1313.28,S,"Cleveland Museum of Art, USA",USA,宋畫全集第六卷第二冊,,,道子墨寶五十開,figure,architecture,,
60,道子墨寶31,SS0,佚名,squarish 方幅,Paper 紙本,34.2,38.4,1313.28,S,"Cleveland Museum of Art, USA",USA,宋畫全集第六卷第二冊,,,道子墨寶五十開,figure,architecture,,
61,道子墨寶32,SS0,佚名,squarish 方幅,Paper 紙本,34.2,38.4,1313.28,S,"Cleveland Museum of Art, USA",USA,宋畫全集第六卷第二冊,,,道子墨寶五十開,figure,architecture,,
62,道子墨寶33,SS0,佚名,squarish 方幅,Paper 紙本,34.2,38.4,1313.28,S,"Cleveland Museum of Art, USA",USA,宋畫全集第六卷第二冊,,,道子墨寶五十開,figure,architecture,,
63,道子墨寶34,SS0,佚名,squarish 方幅,Paper 紙本,34.2,38.4,1313.28,S,"Cleveland Museum of Art, USA",USA,宋畫全集第六卷第二冊,,,道子墨寶五十開,figure,architecture,,
64,道子墨寶35,SS0,佚名,squarish 方幅,Paper 紙本,34.2,38.4,1313.28,S,"Cleveland Museum of Art, USA",USA,宋畫全集第六卷第二冊,,,道子墨寶五十開,figure,architecture,,
65,道子墨寶36,SS0,佚名,squarish 方幅,Paper 紙本,34.2,38.4,1313.28,S,"Cleveland Museum of Art, USA",USA,宋畫全集第六卷第二冊,,,道子墨寶五十開,figure,architecture,,
66,道子墨寶37,SS0,佚名,squarish 方幅,Paper 紙本,34.2,38.4,1313.28,S,"Cleveland Museum of Art, USA",USA,宋畫全集第六卷第二冊,,,道子墨寶五十開,figure,architecture,,
67,道子墨寶38,SS0,佚名,squarish 方幅,Paper 紙本,34.2,38.4,1313.28,S,"Cleveland Museum of Art, USA",USA,宋畫全集第六卷第二冊,,,道子墨寶五十開,figure,architecture,,
